主机 IP,主机名,主机状态,业务组,操作系统,系统版本,内核版本,CPU内核数,内存容量,特征,主机备注,整机CPU占用,整机内存占用,内网 IP,外网 IP,主机开机时长
172.25.10.104,XMWI0005,online,厦门LTPSWindows,Windows Server,2008 R2 Enterprise Service Pack 1,6.1.7601.24520 (win7sp1_ldr_escrow.190828-1732),4,4.0 GB,[09NotReady],,1.87%,37.93%,172.25.10.104,172.25.10.104,25723h53m7s
172.25.200.112,Radius02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.77%,30.65%,172.25.200.112,172.25.200.112,1405h22m23s
172.25.200.222,XMTMG6-DHCP02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),8,16.0 GB,[09NotReady],,1.14%,19.50%,172.25.200.222,172.25.200.222,1403h44m29s
172.25.200.78,TMXMCW,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.07%,33.89%,172.25.200.78,172.25.200.78,1403h41m16s
10.103.12.56,CXXMPVS2002,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,24.0 GB,[09NotReady],,1.77%,12.52%,10.103.12.56,10.103.12.56,12h20m58s
172.25.200.36,xmtmprint08,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21074 (winblue_ltsb_escrow.230703-1629),8,16.0 GB,[09NotReady],,18.65%,65.43%,172.25.200.36,172.25.200.36,1538h28m49s
172.25.201.81,phoebe,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.71%,31.38%,172.25.201.81,172.25.201.81,1351h7m27s
172.25.200.120,XMTMPRINT01,online,厦门LTPSWindows,Windows Server,2008 R2 Standard Service Pack 1,6.1.7601.24511 (win7sp1_ldr_escrow.190729-1700),24,8.0 GB,[09NotReady],,0.84%,35.07%,172.25.200.120,172.25.200.120,7530h13m27s
172.25.201.83,PYKTXM04,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),8,32.0 GB,[09NotReady],,12.22%,38.31%,172.25.201.83,172.25.201.83,4584h23m50s
172.25.200.111,xmdhcp01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.38%,28.65%,172.25.200.111,172.25.200.111,1404h26m37s
172.25.200.110,xmdhcp02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.18%,26.88%,172.25.200.110,172.25.200.110,1403h49m59s
10.103.5.51,TMXMG6NDDC01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,12.0 GB,[09NotReady],,2.76%,63.11%,10.103.5.51,10.103.5.51,13336h9m21s
172.25.200.89,xmtm-barcode01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.1794 (rs1_release.171008-1615),8,8.0 GB,[09NotReady],,1.89%,52.03%,172.25.200.89,172.25.200.89,4560h51m59s
10.103.201.171,PYKTXM01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),32,28.0 GB,[09NotReady],,1.45%,27.17%,10.103.201.171,10.103.201.171,4584h26m26s
10.103.201.35,XMPDACDFS,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.6343 (rs1_release.230913-1727),48,127.6 GB,[09NotReady],,0.14%,9.44%,10.103.201.35,10.103.201.35,19549h37m37s
172.25.200.12,DC15,online,厦门LTPSWindows,Windows Server,2019 Datacenter,10.0.17763.8024 (WinBuild.160101.0800),16,32.0 GB,[09NotReady 域控],域控,18.66%,36.52%,172.25.200.12,172.25.200.12,1406h35m54s
10.103.201.231,XMRD2PD,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.6343 (rs1_release.230913-1727),80,255.7 GB,[09NotReady],,0.38%,6.39%,10.103.201.231,10.103.201.231,19583h44m7s
10.103.12.55,CXXMPVS2001,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,24.0 GB,[09NotReady],,1.24%,14.11%,10.103.12.55,10.103.12.55,12h30m43s
172.25.201.205,PB-Creolic,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),2,4.0 GB,[09NotReady],,5.00%,62.37%,172.25.201.205,172.25.201.205,1356h6m44s
172.25.202.104,XMWI0003,online,厦门LTPSWindows,Windows Server,2008 R2 Enterprise Service Pack 1,6.1.7601.24545 (win7sp1_ldr_escrow.200102-1707),4,4.0 GB,[09NotReady],,3.13%,36.68%,172.25.202.104,172.25.202.104,20488h38m44s
172.25.10.105,XMWI0002,online,厦门LTPSWindows,Windows Server,2008 R2 Enterprise Service Pack 1,6.1.7601.24545 (win7sp1_ldr_escrow.200102-1707),4,4.0 GB,[09NotReady],,2.54%,35.12%,172.25.10.105,172.25.10.105,15405h30m34s
10.103.201.173,PYKTXM03,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),32,28.0 GB,[09NotReady],,0.73%,19.65%,10.103.201.173,10.103.201.173,4583h53m8s
10.103.12.27,CXXMDDC1003,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.93%,28.99%,10.103.12.27,10.103.12.27,63h28m43s
172.25.200.236,xmfs05,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8519 (rs1_release.251008-0341),8,32.0 GB,[09NotReady],,12.83%,62.46%,172.25.200.236,172.25.200.236,1906h17m7s
10.103.12.23,CXXMSF0003,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.51%,32.84%,10.103.12.23,10.103.12.23,63h30m18s
172.25.200.221,XMTMG6-DHCP01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),8,16.0 GB,[09NotReady],,1.21%,19.72%,172.25.200.221,172.25.200.221,1404h11m58s
10.103.12.24,CXLIC0001,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,2.97%,17.34%,10.103.12.24,10.103.12.24,60h21m48s
10.103.20.31,TMXMG6LICSERV,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.20969 (winblue_ltsb_escrow.230426-1931),2,4.0 GB,[09NotReady],,1.98%,36.43%,10.103.20.31,10.103.20.31,6358h8m2s
10.103.12.11,CXXMDB0001,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.15%,64.15%,10.103.12.11,10.103.12.11,592h49m52s
10.103.12.12,CXXMDB0002,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,3.16%,37.92%,10.103.12.12,10.103.12.12,599h8m18s
172.25.11.11,TMXMMGMT,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,21.56%,25.95%,172.25.11.11,172.25.11.11,64h54m37s
10.103.11.72,TMXMXA01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),4,16.0 GB,[09NotReady],,6.71%,53.11%,10.103.11.72,10.103.11.72,6720h57m58s
172.25.200.173,XMTMCAM350-02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),8,16.0 GB,[09NotReady],,1.02%,19.58%,172.25.200.173,172.25.200.173,1382h30m42s
172.25.20.33,net-emergency,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8519 (rs1_release.251008-0341),12,16.0 GB,[09NotReady],,1.79%,51.24%,172.25.20.33,172.25.20.33,1893h18m16s
172.25.20.37,xmrmsvr,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),2,4.0 GB,[09NotReady],,7.06%,57.93%,172.25.20.37,172.25.20.37,14346h45m31s
172.25.200.182,XMLTPSOSCE01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,16.0 GB,[09NotReady],,6.08%,41.99%,172.25.200.182,172.25.200.182,1303h18m9s
10.103.12.25,CXXMDDC1001,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.14%,36.69%,10.103.12.25,10.103.12.25,570h28m24s
172.25.200.169,XMTTS01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.7155 (rs1_release.240624-1757),4,8.0 GB,[09NotReady],,1.96%,57.96%,172.25.200.169,172.25.200.169,7530h0m30s
172.25.201.204,XMPB-Can350lic,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),2,4.0 GB,[09NotReady],,4.28%,35.83%,172.25.201.204,172.25.201.204,1375h8m31s
172.25.201.200,PB-print01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),2,4.0 GB,[09NotReady],,7.79%,59.78%,172.25.201.200,172.25.201.200,1576h52m24s
172.25.201.209,xmdangan,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,16.0 GB,[09NotReady],,3.78%,27.62%,172.25.201.209,172.25.201.209,1403h28m42s
10.103.201.172,PYKTXM02,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),32,28.0 GB,[09NotReady],,0.72%,16.22%,10.103.201.172,10.103.201.172,4581h18m7s
172.25.200.71,xmtm-jf,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),4,8.0 GB,[09NotReady],,11.05%,31.34%,172.25.200.71,172.25.200.71,4600h31m0s
172.25.200.11,DC16,online,厦门LTPSWindows,Windows Server,2019 Datacenter,10.0.17763.8024 (WinBuild.160101.0800),16,32.0 GB,[09NotReady 域控],域控,21.92%,37.85%,172.25.200.11,172.25.200.11,1403h11m39s
10.103.12.19,CXXMDR0001,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),16,32.0 GB,[09NotReady],,0.57%,7.27%,10.103.12.19,10.103.12.19,63h21m20s
10.103.12.26,CXXMDDC1002,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.65%,27.70%,10.103.12.26,10.103.12.26,12h20m1s
10.103.12.54,CXXMPVS1004,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,24.0 GB,[09NotReady],,9.58%,28.13%,10.103.12.54,10.103.12.54,12h20m1s
10.103.200.115,xm-phoneconfig03,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),4,8.0 GB,[09NotReady],,2.40%,34.22%,10.103.200.115,10.103.200.115,4600h4m19s
172.25.20.201,XMLTPSHPDM,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8024 (WinBuild.160101.0800),4,16.0 GB,[09NotReady],,3.39%,24.53%,172.25.20.201,172.25.20.201,1525h45m49s
10.103.12.101,CXXMRD01,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8276 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,1.06%,9.59%,10.103.12.101,10.103.12.101,11h25m38s
172.25.20.135,xmsql01,online,厦门LTPSWindows,Windows Server,2012 R2 Standard,6.3.9600.21620 (winblue_ltsb_escrow.230929-1158),2,4.0 GB,[09NotReady],,3.10%,69.95%,172.25.20.135,172.25.20.135,16028h28m23s
172.25.201.84,xmltps-ykt,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),8,16.0 GB,[09NotReady],,1.64%,22.21%,172.25.201.84,172.25.201.84,4579h10m31s
172.25.200.59,TMXMWSUS01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),16,32.0 GB,[09NotReady],,0.85%,13.26%,172.25.200.59,172.25.200.59,110h22m18s
172.25.200.121,XM-RDLicSvr04,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8246 (rs1_release.250702-2330),4,8.0 GB,[09NotReady],,1.65%,29.50%,172.25.200.121,172.25.200.121,4595h4m50s
172.25.201.105,XMBLUFS01,online,厦门LTPSWindows,Windows Server,2016 Standard,10.0.14393.8592 (rs1_release.251022-1740),4,8.0 GB,[09NotReady],,2.29%,32.29%,172.25.201.105,172.25.201.105,1526h18m14s
10.103.12.13,CXXMDB0003,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,16.0 GB,[09NotReady],,2.52%,38.47%,10.103.12.13,10.103.12.13,599h59m29s
10.103.12.52,CXXMPVS1002,online,厦门LTPSWindows,Windows Server,2019 Standard,10.0.17763.8146 (WinBuild.160101.0800),8,24.0 GB,[09NotReady],,6.13%,37.39%,10.103.12.52,10.103.12.52,757h12m35s
172.25.11.250,XMXA0003,online,厦门LTPSWindows,Windows Server,2008 R2 Enterprise Service Pack 1,6.1.7601.24511 (win7sp1_ldr_escrow.190729-1700),8,16.0 GB,[09NotReady],,6.83%,72.81%,172.25.11.250,172.25.11.250,28801h4m44s
172.25.200.56,xmcvma001,online,厦门LTPSLinux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,64,62.4 GB,[09NotReady],,23.98%,14.48%,172.25.200.56,172.25.200.56,24907h45m50s
10.103.200.39,xmmaildata-200.39,online,厦门LTPSLinux,CentOS Linux,7.2.1511 (Core) ,3.10.0-327.el7.x86_64,32,125.8 GB,[09NotReady],,3.80%,10.78%,10.103.200.39,10.103.200.39,7671h41m28s
10.103.200.56,xmcvma002,online,厦门LTPSLinux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,64,62.4 GB,[09NotReady],,0.09%,8.12%,10.103.200.56,10.103.200.56,23562h28m30s
10.103.11.200,xm-vdi-zabbix.tianmame.cn,online,厦门LTPSLinux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.el7.x86_64,2,3.7 GB,[09NotReady],,12.08%,23.19%,10.103.11.200,10.103.11.200,17543h43m33s
172.25.200.192,360EPP,online,厦门LTPSLinux,Anolis OS,8.8,5.10.134-13.an8.x86_64,8,15.4 GB,[09NotReady],,25.18%,89.12%,172.25.200.192,172.25.200.192,5780h32m4s
10.105.65.24,XMoledYKT05,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.63%,28.07%,10.105.65.24,10.105.65.24,43h41m39s
10.105.16.2,TM18-CB-APP03,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,32.0 GB,[09NotReady],,20.95%,37.57%,10.105.16.2,10.105.16.2,250h9m2s
10.105.65.27,XMoledYKT08,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.96%,27.40%,10.105.65.27,10.105.65.27,43h10m53s
10.105.65.29,XMoled-YKT10,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,1.93%,26.23%,10.105.65.29,10.105.65.29,43h9m39s
10.105.65.2,DC20,online,厦门T18Windows,Windows Server,2019 Datacenter,10.0.17763.8024 (WinBuild.160101.0800),16,32.0 GB,[09NotReady 域控],域控,13.97%,35.69%,10.105.65.2,10.105.65.2,1381h25m25s
10.105.64.76,ch1-photo,online,厦门T18Windows,Windows Server,2019 Datacenter,10.0.17763.7919 (WinBuild.160101.0800),2,4.0 GB,[09NotReady],,4.45%,40.10%,10.105.64.76,10.105.64.76,1916h0m36s
10.105.65.121,TM18-CM-DB-01,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),6,8.0 GB,[09NotReady],,1.42%,23.68%,10.105.65.121,10.105.65.121,236h20m16s
10.105.65.26,XMoledYKT07,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.95%,27.09%,10.105.65.26,10.105.65.26,43h9m53s
10.105.65.21,XMoledYKT02,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.31%,30.40%,10.105.65.21,10.105.65.21,43h42m42s
10.105.10.12,TM18DBS02,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,38.0 GB,[09NotReady],,14.36%,95.09%,10.105.10.12,10.105.10.12,782h9m10s
10.105.10.24,TM18VCS04,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,10.0 GB,[09NotReady],,18.69%,87.47%,10.105.10.24,10.105.10.24,783h2m14s
10.105.64.41,XMoledFilelogs,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),4,8.0 GB,[09NotReady],,1.59%,21.39%,10.105.64.41,10.105.64.41,47h32m56s
10.105.10.41,TM18DEM01,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,1.64%,21.96%,10.105.10.41,10.105.10.41,44h59m19s
10.105.65.20,XMoledYKT01,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),8,8.0 GB,[09NotReady],,2.63%,26.53%,10.105.65.20,10.105.65.20,43h41m48s
10.105.64.40,XMTMFILE,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8062 (rs1_release.250501-1220),8,16.0 GB,[09NotReady],,1.22%,22.00%,10.105.64.40,10.105.64.40,5921h34m58s
10.105.10.33,TM18APPV03,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,8.0 GB,[09NotReady],,2.34%,48.56%,10.105.10.33,10.105.10.33,44h36m0s
10.105.65.1,DC19,online,厦门T18Windows,Windows Server,2019 Datacenter,10.0.17763.8024 (WinBuild.160101.0800),16,32.0 GB,[09NotReady 域控],域控,23.02%,35.54%,10.105.65.1,10.105.65.1,1381h44m50s
10.105.65.47,xmoledstor03,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),16,16.0 GB,[09NotReady],,0.30%,20.97%,10.105.65.47,10.105.65.47,71h9m22s
10.105.64.82,xmoled-nsfocus,online,厦门T18Windows,Windows Server,2019 Standard,10.0.17763.107 (WinBuild.160101.0800),4,8.0 GB,[09NotReady],,6.78%,60.33%,10.105.64.82,10.105.64.82,17420h21m10s
10.105.8.240,TM18CRFS01,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8781 (rs1_release.251224-1746),4,8.0 GB,[09NotReady],,4.31%,35.16%,10.105.8.240,10.105.8.240,191h4m51s
10.105.65.30,Phong-billing,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8062 (rs1_release.250501-1220),16,16.0 GB,[09NotReady],,0.63%,23.26%,10.105.65.30,10.105.65.30,5899h1m53s
10.105.10.11,TM18DBS01,online,厦门T18Windows,Windows Server,2016 Standard,10.0.14393.8688 (rs1_release.251203-1653),4,38.0 GB,[09NotReady],,3.27%,46.41%,10.105.10.11,10.105.10.11,36h29m9s
10.105.64.123,SLB02,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,6,11.6 GB,[09NotReady],鸿翼网盘,0.97%,5.76%,10.105.64.123,10.105.64.123,21165h25m55s
10.105.64.122,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,5,11.6 GB,[09NotReady],鸿翼网盘,1.34%,5.58%,10.105.64.122,10.105.64.122,21573h35m3s
10.105.65.43,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.6.1810 (Core) ,6.4.8-1.el7.elrepo.x86_64,16,15.6 GB,[09NotReady],,0.63%,14.83%,10.105.65.43,10.105.65.43,21768h36m26s
10.105.65.69,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,4,7.6 GB,[09NotReady],,1.49%,14.73%,10.105.65.69,10.105.65.69,26879h58m30s
10.105.64.18,tm18maildata-18,online,厦门T18Linux,CentOS Linux,7.2.1511 (Core) ,3.10.0-327.el7.x86_64,32,125.7 GB,[09NotReady],,7.41%,30.79%,10.105.64.18,10.105.64.18,7549h22m3s
10.105.65.75,xmoledvsa01,online,厦门T18Linux,Oracle Linux Server,8.4 (Ootpa),5.4.17-2102.205.7.3.el8uek.x86_64,2,7.5 GB,[09NotReady],,4.01%,43.86%,10.105.65.75,10.105.65.75,21169h14m41s
10.105.64.131,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,6,11.6 GB,[09NotReady],鸿翼网盘,19.54%,7.38%,10.105.64.131,10.105.64.131,20827h40m53s
10.105.64.125,k8s-node01,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,12.95%,37.27%,10.105.64.125,10.105.64.125,19339h56m24s
10.105.226.100,zabbix.tianma.cn,online,厦门T18Linux,CentOS Linux,7.6.1810 (Core) ,5.4.235-1.el7.elrepo.x86_64,4,7.7 GB,[09NotReady],,1.05%,6.54%,10.105.226.100,10.105.226.100,3236h56m26s
10.105.65.38,phone_config,online,厦门T18Linux,CentOS Linux,7.6.1810 (Core) ,5.4.235-1.el7.elrepo.x86_64,2,3.8 GB,[09NotReady],,1.69%,26.64%,10.105.65.38,10.105.65.38,22892h3m17s
10.105.64.129,ceph02,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,0.37%,22.57%,10.105.64.129,10.105.64.129,19409h6m21s
10.105.65.95,ZBX-Ser,online,厦门T18Linux,Anolis OS,8.10,5.10.134-13.an8.x86_64,8,7.6 GB,[09NotReady],,6.71%,25.01%,10.105.65.95,10.105.65.95,13458h53m5s
10.105.64.130,ceph03,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,0.71%,22.61%,10.105.64.130,10.105.64.130,3712h28m52s
10.105.228.131,TM18AVIBAK01,online,厦门T18Linux,Red Hat Enterprise Linux Server,7.9 (Maipo),3.10.0-1160.el7.x86_64,2,3.7 GB,[09NotReady],,0.99%,13.79%,10.105.228.131,10.105.228.131,36h22m5s
10.105.65.96,ZBX-Proxy,online,厦门T18Linux,Anolis OS,8.9,5.10.134-16.2.an8.x86_64,8,7.6 GB,[09NotReady],,17.77%,15.71%,10.105.65.96,10.105.65.96,14274h11m35s
10.105.64.126,k8s-node02,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,9.37%,35.35%,10.105.64.126,10.105.64.126,19409h53m23s
10.105.64.128,ceph01,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,0.39%,18.57%,10.105.64.128,10.105.64.128,19409h22m1s
10.105.65.35,xmoled,online,厦门T18Linux,CentOS Linux,7.7.1908 (Core),3.10.0-1062.12.1.el7.x86_64,1,2.0 GB,[09NotReady],,2.17%,21.83%,10.105.65.35,10.105.65.35,6040h5m9s
10.105.64.127,k8s-node03,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,40,125.4 GB,[09NotReady],鸿翼网盘,8.88%,51.64%,10.105.64.127,10.105.64.127,19339h52m32s
10.103.201.250,localhost.localdomain,online,厦门T18Linux,Red Hat Enterprise Linux Server,7.8 (Maipo),3.10.0-1127.el7.x86_64,192,2.0 TB,[09NotReady],,0.32%,1.72%,10.103.201.250,10.103.201.250,12594h47m29s
10.105.64.132,localhost.localdomain,online,厦门T18Linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,10,19.4 GB,[09NotReady],鸿翼网盘,0.38%,15.31%,10.105.64.132,10.105.64.132,20657h30m18s
10.105.66.1,TM18XMRDEDA01,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-957.el7.x86_64,112,1007.3 GB,[09NotReady],,11.70%,9.70%,10.105.66.1,10.105.66.1,1556h43m44s
10.105.66.3,TM18XMRDEDA03,online,厦门OLED弱管理区linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.el7.x86_64,112,1.5 TB,[09NotReady],,1.12%,1.90%,10.105.66.3,10.105.66.3,1512h27m25s
10.105.66.2,tm18xmrdeda02,online,厦门OLED弱管理区linux,CentOS Linux,7.6.1810 (Core) ,3.10.0-957.el7.x86_64,112,1.5 TB,[09NotReady],,99.64%,30.43%,10.105.66.2,10.105.66.2,1363h28m31s
10.105.66.9,TM18XMRDEDA07,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.92.1.el7.x86_64,96,1007.4 GB,[09NotReady],,2.90%,6.12%,10.105.66.9,10.105.66.9,8328h17m22s
10.105.66.4,TM18XMRDEDA04,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.92.1.el7.x86_64,112,1.5 TB,[09NotReady],,38.22%,19.23%,10.105.66.4,10.105.66.4,1363h46m49s
10.105.66.6,localhost.localdomain,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.el7.x86_64,152,1007.2 GB,[09NotReady],,2.69%,7.10%,10.105.66.6,10.105.66.6,13704h34m16s
10.105.66.7,TM18XMRDEDA05,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.92.1.el7.x86_64,160,2.0 TB,[09NotReady],,64.90%,15.34%,10.105.66.7,10.105.66.7,45h10m4s
10.105.66.8,TM18XMRDEDA06,online,厦门OLED弱管理区linux,CentOS Linux,7.9.2009 (Core),3.10.0-1160.92.1.el7.x86_64,160,1007.2 GB,[09NotReady],,52.09%,11.12%,10.105.66.8,10.105.66.8,1512h27m3s
10.105.65.92,xmoledDS-DSM03,online,厦门T18Linux,openEuler,22.03 (LTS-SP3),5.10.0-182.0.0.95.oe2203sp3.x86_64,8,17.1 GB,[09NotReady],,1.57%,42.67%,10.105.65.92,10.105.65.92,12778h26m58s
10.100.6.165,UDevMql1,online,上海G4.5（数据中心）Linux,Anolis OS,8.8,5.10.134-13.an8.x86_64,24,31.1 GB,[09NotReady],,0.82%,58.56%,10.100.6.165,10.100.6.165,13099h44m54s
10.110.1.70,localhost.localdomain,online,上海G4.5Linux,UOS Server 20,20,4.19.90-2403.3.0.0270.84.uel20.x86_64,8,23.3 GB,[09NotReady],,18.74%,92.29%,10.110.1.70,10.110.1.70,5062h52m2s
